Age,Gender,Job_Stf,Imp_Job_Char,Longevity,Long_Buck,Promotion_Atb,DecisionMaking_Atb,BudgetoryDec_Atb,Proud_Atb,AnotherJob_Atb,RelCoworkers_Atb
35,Male,Moderately Satisfied,Opportunities for Advancement,3,1,Very Likely,Much of the Time,Yes,Somewhat Proud,Very Unlikely,Good
33,Male,Moderately Satisfied,Flexible Hours,9,2,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
23,Male,Very Satisfied,High Income,1.5,1,Very Likely,Much of the Time,No,Very Proud,Very Unlikely,Good
60,Male,Very Satisfied,High Income,20,4,Not Sure,Much of the Time,No,Very Proud,Very Likely,Very Good
35,Male,Moderately Satisfied,High Income,3,1,Not Sure,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
34,Female,Moderately Satisfied,High Income,6,2,Very Likely,Much of the Time,No,Somewhat Proud,Unlikely,Bad
61,Female,Very Satisfied,High Income,0.75,1,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
59,Male,Moderately Satisfied,Enjoying the Work,1.5,1,Likely,Always,No,Somewhat Proud,Unlikely,Very Good
37,Female,Very Satisfied,Enjoying the Work,3,1,Unlikely,Sometimes,Yes,Somewhat Proud,Likely,So So
30,Male,Very Satisfied,Enjoying the Work,5,2,Likely,Much of the Time,Yes,Very Proud,Likely,Good
34,Female,Very Satisfied,Flexible Hours,3,1,Unlikely,Much of the Time,Yes,Very Proud,Unlikely,Good
34,Female,Moderately Satisfied,Flexible Hours,8,2,Likely,Much of the Time,Yes,Somewhat Proud,Likely,Good
27,Female,Moderately Satisfied,Enjoying the Work,7,2,Likely,Sometimes,No,Somewhat Proud,Unlikely,Good
38,Male,Very Satisfied,Opportunities for Advancement,15,4,Very Likely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
41,Male,A Little Dissatisfied,High Income,1,1,Unlikely,Much of the Time,No,Not At All Proud,Very Unlikely,So So
58,Male,Moderately Satisfied,Opportunities for Advancement,36,4,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Very Unlikely,Good
34,Female,Moderately Satisfied,High Income,1.5,1,Likely,Sometimes,No,Somewhat Proud,Likely,Good
48,Female,Moderately Satisfied,Enjoying the Work,6,2,Unlikely,Much of the Time,No,Somewhat Proud,Unlikely,Good
26,Female,Very Satisfied,Opportunities for Advancement,3.5,1,Not Sure,Much of the Time,Yes,Very Proud,Likely,Very Good
39,Male,Very Satisfied,Enjoying the Work,3,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
29,Female,Very Satisfied,Enjoying the Work,16,4,Very Likely,Always,Yes,Somewhat Proud,Likely,So So
36,Male,Very Dissatisfied,Enjoying the Work,4.08,1,Unlikely,Much of the Time,No,Indifferent,Unlikely,So So
25,Male,Very Satisfied,Opportunities for Advancement,2,1,Very Likely,Sometimes,No,Somewhat Proud,Unlikely,Good
39,Female,Moderately Satisfied,Enjoying the Work,2,1,Very Likely,Much of the Time,No,Somewhat Proud,Unlikely,So So
40,Male,Moderately Satisfied,High Income,11.83,3,Very Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Good
53,Male,Moderately Satisfied,High Income,10,3,Likely,Much of the Time,Yes,Somewhat Proud,Unlikely,Very Good
39,Female,Very Satisfied,Enjoying the Work,1,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
27,Female,Very Dissatisfied,No Danger of Being Fired,2,1,Very Unlikely,Always,No,Somewhat Proud,Unlikely,So So
35,Male,Very Satisfied,High Income,10,3,Very Unlikely,Always,No,Somewhat Proud,Unlikely,So So
25,Male,Very Satisfied,Enjoying the Work,2.5,1,Very Unlikely,Much of the Time,Yes,Very Proud,Likely,Very Good
29,Male,Moderately Satisfied,Enjoying the Work,1,1,Very Likely,Always,Yes,Indifferent,Unlikely,Good
23,Female,Very Satisfied,No Danger of Being Fired,0.75,1,Very Likely,Sometimes,Yes,Very Proud,Very Likely,Very Good
40,Male,Very Satisfied,Enjoying the Work,4.33,1,Very Likely,Sometimes,Yes,Indifferent,Unlikely,Good
36,Female,A Little Dissatisfied,High Income,10,3,Likely,Much of the Time,No,Somewhat Proud,Not Sure,Very Good
64,Female,Very Satisfied,Opportunities for Advancement,7,2,Very Unlikely,Much of the Time,Yes,Very Proud,Very Likely,Good
43,Female,Very Satisfied,Enjoying the Work,18,4,Very Unlikely,Much of the Time,Yes,Somewhat Proud,Likely,Very Good
28,Female,Moderately Satisfied,Enjoying the Work,0.16,1,Likely,Sometimes,No,Somewhat Proud,Very Unlikely,Good
48,Female,Very Satisfied,Enjoying the Work,1.66,1,Very Unlikely,Sometimes,No,Very Proud,Likely,So So
52,Male,A Little Dissatisfied,Enjoying the Work,0.08,1,Very Unlikely,Sometimes,No,Somewhat Proud,Unlikely,Very Good
32,Male,Moderately Satisfied,High Income,3,1,Likely,Always,No,Somewhat Proud,Likely,Good
23,Male,Moderately Satisfied,High Income,1,1,Very Likely,Much of the Time,No,Indifferent,Unlikely,Very Good
44,Female,Very Satisfied,High Income,5,2,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Very Good
36,Female,Very Dissatisfied,High Income,9.5,2,Unlikely,Sometimes,Yes,Indifferent,Very Unlikely,Bad
33,Female,Moderately Satisfied,Flexible Hours,3.75,1,Likely,Much of the Time,No,Somewhat Proud,Unlikely,Good
52,Male,Very Satisfied,Enjoying the Work,1,1,Very Unlikely,Always,Yes,Somewhat Proud,Likely,Very Good
38,Male,Very Satisfied,Enjoying the Work,2.66,1,Very Unlikely,Sometimes,Yes,Very Proud,Very Likely,Very Good
